# DIST_PNC,OXFORD_COMMAS,NUM_PARAGRAPHS,NORM_FULL_STOPS,NORM_COMMAS,AVG_SENT_LEN,UNIGRAM_OVERLAP,BIGRAM_OVERLAP,TRIGRAM_OVERLAP,MATCHES_VOCAB_5K,MATCHES_VOCAB_10K,POLARITY,SUBJECTIVITY,SENTIMENT_ES,SENTIMENT_ML,SENTIMENT_ML_SCORE
5,0,4,0.0821256,0.03381643,23.76470588,0.00290698,0.00149701,0.00138696,0.79315068,0.0630137,0.01211207,0.54150667,0.99999999,-1,0.25
9,1,6,0.08312958,0.07090465,17.8372093,0.00296736,0.00159236,0.00148588,0.81925926,0.04296296,0.08735876,0.5086848,1,1,0.75
8,0,4,0.07865169,0.03932584,20.44117647,0.00361011,0.00184502,0.00163934,0.8608,0.024,0.1511308,0.50347619,1,1,0.75
6,0,5,0.07912088,0.08351648,21.73684211,0.00277778,0.00149925,0.00138696,0.84836066,0.03688525,0.12054307,0.43540907,1,-1,0.25
7,0,1,0.06823529,0.08941176,27.34482759,0.00283286,0.00159236,0.00147059,0.8367052,0.04190751,0.10873974,0.46945615,1,-1,0.25
5,0,1,0.06052632,0.03684211,32.45833333,0.00304878,0.00156006,0.00140845,0.87621697,0.01947149,0.14530407,0.50214612,1,-1,0.25
7,2,5,0.06466513,0.1039261,28.4137931,0.0031348,0.0016129,0.00141844,0.8696845,0.01097394,0.1299374,0.44459982,1,0,0.5
9,0,1,0.07110092,0.05504587,25.32352941,0.00268817,0.0014245,0.0013089,0.84102564,0.02435897,0.09051902,0.45574187,1,-1,0
7,1,2,0.08955224,0.09452736,18.41463415,0.00295858,0.0017331,0.00161812,0.77743431,0.0633694,0.10360182,0.50790611,0.99999996,1,0.75
5,0,6,0.1004902,0.03921569,19.4,0.00290698,0.00161812,0.00149477,0.82404692,0.03812317,0.05301781,0.48132602,0.99986127,-1,0.25
4,1,7,0.0787172,0.05539359,17.075,0.00319489,0.00177305,0.00165563,0.8236246,0.06634304,0.00493052,0.49485801,0.9999835,-1,0
8,0,7,0.07905983,0.08974359,21.1,0.00285714,0.00149477,0.00137363,0.82537517,0.04229195,0.12525666,0.46869739,0.99999999,-1,0.25
6,0,4,0.06094808,0.05869074,29.36666667,0.0027027,0.00145349,0.00132979,0.8467433,0.0357599,0.17006716,0.51362943,0.99999808,-1,0
2,1,1,0.07981221,0.06338028,22.55882353,0.00346021,0.00163934,0.00149031,0.87535817,0.04297994,0.10915616,0.45901611,1,-1,0.25
7,0,1,0.06128134,0.05013928,32.22727273,0.00373134,0.00186916,0.00164745,0.8436019,0.0300158,0.16904448,0.46159941,1,-1,0.25
6,0,5,0.07711443,0.04975124,23.23529412,0.00323625,0.00160256,0.00145773,0.83333333,0.04096045,0.00090109,0.50687668,0.99999983,-1,0.25
6,0,1,0.07532468,0.01558442,23.36363636,0.00338983,0.00164474,0.0014771,0.85673759,0.03404255,0.22369527,0.48955133,1,-1,0.25
9,0,5,0.04835165,0.06593407,31.22222222,0.00289017,0.00146843,0.00134048,0.75825627,0.05019815,0.13626664,0.48236748,1,0,0.5
7,0,6,0.09401709,0.03988604,20.82352941,0.00321543,0.00170068,0.00155039,0.83565891,0.0248062,0.00055945,0.39903004,1,-1,0.25
7,2,6,0.07514451,0.06069364,21.15625,0.003367,0.00184502,0.00170068,0.84924623,0.02847571,0.16403626,0.4155116,0.99966379,-1,0.25
5,0,1,0.075,0.03888889,23,0.00292398,0.0017301,0.00165289,0.83579639,0.04597701,0.18660435,0.5248358,0.99999999,1,0.75
4,0,4,0.08139535,0.0627907,24.11428571,0.00282486,0.00149925,0.00134409,0.82124352,0.03497409,0.14775382,0.43194519,1,0,0.5
9,0,3,0.06625259,0.09109731,26.97058824,0.00242718,0.00131406,0.00123457,0.75802469,0.06296296,0.05726162,0.43182849,1,1,0.75
7,1,1,0.08027523,0.07798165,22.22222222,0.00309598,0.00165289,0.00147929,0.85091421,0.04922644,0.07060233,0.46732348,1,-1,0.25
5,0,1,0.09218437,0.08416834,21.93478261,0.00250627,0.00125786,0.0011236,0.8671875,0.02566964,0.08414732,0.47641706,1,1,0.75
5,0,1,0.05797101,0.07971014,30.96153846,0.00291545,0.00154321,0.0013986,0.85062241,0.03457815,0.12908425,0.43750692,1,1,0.75
