# DIST_PNC,OXFORD_COMMAS,NUM_PARAGRAPHS,NORM_FULL_STOPS,NORM_COMMAS,AVG_SENT_LEN,UNIGRAM_OVERLAP,BIGRAM_OVERLAP,TRIGRAM_OVERLAP,MATCHES_VOCAB_5K,MATCHES_VOCAB_10K,POLARITY,SUBJECTIVITY,SENTIMENT_ES,SENTIMENT_ML,SENTIMENT_ML_SCORE
3,6,7,0.09191176,0.06617647,22.5,0.00438596,0.0025641,0.00229885,0.68973214,0.046875,0.30779178,0.55526083,0,1,0.75
3,3,4,0.07488987,0.06167401,27.5625,0.00469484,0.00303951,0.00288184,0.74777448,0.03560831,0.25694444,0.53298611,0,1,0.75
2,1,1,0.12935323,0.07462687,12.76923077,0.00657895,0.00406504,0.00378788,0.69961977,0.01520913,0.37236652,0.62878788,0,1,1
4,0,1,0.05347594,0.12834225,49.14285714,0.00609756,0.00403226,0.00383142,0.608,0.024,0.36985294,0.49558824,0.99168514,1,0.75
4,1,4,0.07428571,0.07428571,21,0.00649351,0.00401606,0.00373134,0.72692308,0.06153846,0.31517017,0.55097776,0,1,1
2,7,6,0.09950249,0.11442786,17.36363636,0.00578035,0.00347222,0.00323625,0.69435216,0.03986711,0.48548951,0.70547786,0,1,1
2,0,1,0.09090909,0.05844156,25.75,0.00680272,0.00425532,0.004,0.74900398,0.01992032,0.40506629,0.54952652,0,1,1
3,6,6,0.13559322,0.06779661,16.6,0.00680272,0.00425532,0.00403226,0.67699115,0.02212389,0.3796875,0.58958333,0.00182297,1,1
5,6,5,0.07103825,0.13114754,26.30769231,0.00675676,0.00392157,0.00377358,0.79365079,0.02380952,0.45733471,0.76270661,0,1,1
3,3,6,0.08139535,0.13953488,18,0.00746269,0.00446429,0.00404858,0.756,0.02,0.58448276,0.78448276,0,1,1
2,0,2,0.08187135,0.06432749,25.53846154,0.00609756,0.00384615,0.00367647,0.71481481,0.05555556,0.21527576,0.45691515,0,1,1
5,3,2,0.09777778,0.13333333,23.11764706,0.00617284,0.00393701,0.00355872,0.73529412,0.02205882,0.35155844,0.56773449,0,1,1
3,1,1,0.18181818,0.01298701,19.93333333,0.00729927,0.00460829,0.00413223,0.77178423,0.04149378,0.4625,0.49125,0,1,1
2,5,1,0.12941176,0.07647059,14.80952381,0.00662252,0.00398406,0.0037594,0.69029851,0.05223881,0.38413793,0.57172414,0.00000002,1,1
4,9,1,0.11538462,0.1474359,322,0.0070922,0.00421941,0.00383142,0.68679245,0.01886792,0.38140909,0.77518182,0,1,0.75
2,3,4,0.08796296,0.07407407,16.91304348,0.00628931,0.00409836,0.00378788,0.72692308,0.05769231,0.25811111,0.48522222,0.00021722,1,1
2,0,1,0.11979167,0.046875,14.31818182,0.00636943,0.0041841,0.00404858,0.68924303,0.07171315,0.50916667,0.77111111,0,1,0.75
2,0,1,0.10404624,0.10404624,16.25,0.00645161,0.004,0.00389105,0.71484375,0.0390625,0.34505682,0.74706439,0,1,1
2,0,3,0.11009174,0.00917431,16.14285714,0.00909091,0.00621118,0.00584795,0.69811321,0.04402516,0.23034188,0.59401709,0,1,0.75
2,0,1,0.09411765,0.06470588,24.84615385,0.00641026,0.0041841,0.00393701,0.66935484,0.01209677,0.4265625,0.68177083,0,1,1
3,1,5,0.06597222,0.0625,23.90909091,0.00574713,0.00325733,0.00294118,0.63141994,0.05135952,0.28744589,0.42402597,0,1,1
3,0,1,0.17766497,0.01015228,9.05555556,0.00609756,0.00389105,0.00371747,0.70740741,0.01481481,0.50647619,0.60995238,0.99999947,1,1
2,8,1,0.10928962,0.16939891,22,0.00552486,0.00377358,0.00362319,0.70848708,0.01845018,0.32794118,0.53018207,0,1,1
2,0,4,0.11728395,0.04320988,18.16666667,0.00671141,0.004329,0.00404858,0.672,0.032,0.34306878,0.52201058,0,1,1
4,1,1,0.12315271,0.03940887,14.69565217,0.00571429,0.00384615,0.00361011,0.70609319,0.03942652,0.24730903,0.49618056,0,1,1
2,1,5,0.08071749,0.06278027,22.25,0.00552486,0.00309598,0.00283286,0.71676301,0.06358382,0.27322975,0.38193929,0.46274595,1,1
6,2,1,0.09230769,0.07179487,20.47368421,0.00595238,0.00364964,0.00342466,0.70567376,0.02836879,0.34973485,0.54383333,0,1,1
5,1,5,0.14814815,0.03703704,8.95454545,0.01149425,0.00763359,0.00694444,0.69178082,0.04109589,0.60959596,0.84444444,0,1,1
3,0,1,0.10212766,0.06808511,17.375,0.00490196,0.00319489,0.00303951,0.64444444,0.04126984,0.34084101,0.47469278,0,1,1
3,1,1,0.06382979,0.07978723,25.69230769,0.00584795,0.003861,0.00374532,0.64202335,0.05058366,0.39722222,0.74166667,0.99637681,1,1
2,6,1,0.1011236,0.10674157,20.46666667,0.00613497,0.00404858,0.00395257,0.72727273,0.03952569,0.39944357,0.53688088,0,1,1
2,0,4,0.0862069,0.03448276,22.0625,0.00595238,0.00358423,0.00332226,0.77181208,0.03020134,0.30046086,0.81804973,0.01588118,1,0.75
3,1,1,0.05586592,0.0726257,30,0.00757576,0.00431034,0.00392157,0.81712062,0.05058366,0.38290043,0.46728716,0,1,0.75
2,5,1,0.09815951,0.07361963,18.58823529,0.00657895,0.00398406,0.00384615,0.63671875,0.046875,0.33451178,0.55732323,0,1,1
2,0,1,0.18137255,0.05392157,9.51428571,0.00653595,0.00425532,0.00392157,0.66666667,0.0503876,0.27746528,0.59201389,0,1,1
5,1,3,0.15254237,0.05084746,189.5,0.00694444,0.00413223,0.00363636,0.50965251,0.01930502,0.21506494,0.48285714,0.99639152,1,1
2,0,1,0.09150327,0.0130719,21.13333333,0.0060241,0.00396825,0.00371747,0.76404494,0.03745318,0.39273399,0.61598522,0,1,1
2,2,1,0.11564626,0.03401361,17.29411765,0.00917431,0.00518135,0.00438596,0.73705179,0.02788845,0.25694444,0.73888889,0,1,1
3,3,1,0.13084112,0.08411215,13.07142857,0.01041667,0.00704225,0.00689655,0.63309353,0.03597122,0.38164336,0.63496503,0,1,1
2,0,1,0.12337662,0.02597403,15.36842105,0.00628931,0.00416667,0.00395257,0.788,0.016,0.41316667,0.65659259,0,1,1
3,2,1,0.06976744,0.12209302,29.9,0.00645161,0.00420168,0.004,0.74900398,0.03187251,0.37337662,0.65220779,0.00000371,1,1
2,4,1,0.10160428,0.07486631,19.61111111,0.00641026,0.00403226,0.00373134,0.59689922,0.03875969,0.17066416,0.40068922,1,1,1
7,0,3,0.09661836,0.09661836,21.66666667,0.00588235,0.00371747,0.00343643,0.66666667,0.0212766,0.12652083,0.50591667,0,1,1
3,0,4,0.18390805,0,8.71428571,0.008,0.00458716,0.00408163,0.68979592,0.01632653,0.24183298,0.41834734,0,1,1
3,1,1,0.02202643,0.05726872,31.14285714,0.00497512,0.00315457,0.00301205,0.68571429,0.03492063,0.3734375,0.57217262,0,1,1
2,0,1,0.15789474,0.05263158,12,0.00680272,0.00420168,0.00389105,0.60474308,0.05533597,0.35348958,0.66713542,0,1,0.75
2,1,1,0.19178082,0.02739726,9.92857143,0.01492537,0.00990099,0.00862069,0.79338843,0.01652893,0.325,0.56666667,0,1,1
2,4,3,0.12578616,0.0754717,17.72222222,0.00793651,0.0042735,0.00389105,0.68604651,0.04651163,0.26135417,0.54833333,0,1,0.75
2,1,6,0.1734104,0.02890173,12,0.00662252,0.00409836,0.00367647,0.651341,0.01532567,0.33256184,0.61287982,1,1,1
3,0,1,0.08383234,0.05389222,23,0.00628931,0.00409836,0.00384615,0.72137405,0.02671756,0.3675,0.51958333,0,1,1
2,0,1,0.1443299,0,11.0625,0.01052632,0.00714286,0.00684932,0.61290323,0.00645161,0.25388889,0.52944444,0.0514015,1,1
2,1,1,0.08888889,0.04444444,32.44444444,0.00671141,0.00420168,0.00395257,0.728,0.04,0.17621871,0.44963862,0,1,0.75
2,0,1,0.27428571,0.01714286,6.85106383,0.00704225,0.00438596,0.00403226,0.64615385,0.03846154,0.25865142,0.54774421,0,1,0.75
3,1,2,0.05829596,0.12107623,28.92307692,0.00505051,0.0033557,0.00325733,0.56622517,0.02317881,-0.05707071,0.30050505,0,-1,0.25
5,7,2,0.06432749,0.0877193,26.66666667,0.00591716,0.00381679,0.00371747,0.6802974,0.0260223,0.26960904,0.40407873,0,1,0.75
7,2,10,0.12871287,0.07920792,11.37931034,0.00561798,0.00404858,0.00392157,0.56854839,0.05645161,0.28333333,0.63008772,0,1,0.75
2,1,1,0.10497238,0.03867403,17.47058824,0.00662252,0.004329,0.00413223,0.612,0.036,0.28672249,0.4479481,0,1,1
4,0,5,0.17460317,0.03703704,8.76315789,0.00787402,0.00431034,0.00393701,0.63492063,0.03174603,0.40959957,0.63647186,0,1,1
3,1,1,0.13658537,0.03902439,14.03846154,0.00621118,0.00383142,0.00361011,0.62369338,0.02787456,0.39291667,0.47875,0,-1,0.25
2,0,5,0.19047619,0.03809524,12.1875,0.00952381,0.00666667,0.00632911,0.61688312,0.04545455,0.20555556,0.61666667,0,0,0.5
2,1,1,0.14619883,0.01754386,11.72,0.00934579,0.0047619,0.00404858,0.64528302,0.03018868,0.18628472,0.64722222,0,1,0.75
3,0,1,0.12048193,0.01204819,18.44444444,0.00595238,0.00373134,0.00357143,0.70714286,0.03571429,0.29656198,0.49479247,0,1,0.75
2,0,1,0.17672414,0.09482759,7.85,0.00826446,0.00483092,0.0041841,0.57936508,0.03968254,0.20087302,0.54793651,0,1,0.75
7,2,4,0.11914894,0.04680851,15.67857143,0.00460829,0.003003,0.00285714,0.66268657,0.03283582,0.20763889,0.46909722,0,-1,0.25
2,0,1,0.17857143,0,10,0.01265823,0.00877193,0.00833333,0.56910569,0.01626016,0.28809524,0.43809524,0,1,0.75
3,0,1,0.14450867,0.04624277,11.80769231,0.00689655,0.0042735,0.00396825,0.66403162,0.01185771,0.22999719,0.56535354,0,1,0.75
2,0,1,0.2247191,0.02808989,12.12,0.00943396,0.00636943,0.00574713,0.57563025,0.05882353,0.16615385,0.29153846,0.09004857,1,1
1,0,1,0.16923077,0,11.8,0.01408451,0.01030928,0.01030928,0.6875,0.02083333,0.4814876,0.69818182,0.00000653,1,1
3,3,5,0.14814815,0.06349206,11.25,0.00694444,0.00425532,0.004,0.632,0.016,0.40803571,0.69035714,0,1,1
3,1,2,0.10729614,0.07296137,17.73913043,0.00512821,0.00320513,0.003003,0.55172414,0.01567398,0.36047348,0.63328704,0,1,0.75
2,4,1,0.11940299,0.08208955,16.875,0.00787402,0.00456621,0.00421941,0.74042553,0.00425532,-0.10102941,0.6245098,0,-1,0.25
7,4,6,0.08583691,0.09012876,15.43478261,0.00632911,0.00416667,0.00390625,0.50588235,0.01568627,0.17469136,0.5217284,0,1,1
